id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
2182,English,We will start your therapy now.,225.73,0.79,0.25,0.1,0.59,0.15,Neutral
2183,Mandarin,你可以慢慢移动手臂吗？,165.33,0.73,0.26,0.1,0.54,0.17,Sadness
2184,Spanish,Vamos a comenzar la terapia.,192.12,0.59,0.24,0.1,0.48,0.27,Surprise
2185,Spanish,Parece más relajado hoy.,159.38,0.48,0.3,0.15,0.59,0.24,Fear
2186,Spanish,¿Puede mover el brazo lentamente?,224.81,0.44,0.26,0.12,0.5,0.22,Sadness
2187,Mandarin,我们来做一些伸展运动。,187.92,0.54,0.29,0.11,0.37,0.22,Surprise
2188,Mandarin,我们现在开始治疗。,238.41,0.49,0.36,0.14,0.39,0.16,Sadness
2189,French,Ressentez-vous de la douleur?,150.84,0.65,0.31,0.1,0.44,0.24,Fear
2190,French,Vous semblez plus détendu aujourd'hui.,168.63,0.55,0.33,0.15,0.4,0.27,Fear
2191,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,228.14,0.48,0.26,0.14,0.56,0.29,Joy
2192,Mandarin,你有疼痛吗？,229.55,0.53,0.25,0.13,0.58,0.15,Sadness
2193,Hindi,हम आपकी थेरेपी शुरू करेंगे।,162.8,0.57,0.22,0.13,0.34,0.23,Sadness
2194,English,Let me adjust your pillow for comfort.,212.29,0.73,0.3,0.1,0.41,0.24,Joy
2195,Hindi,मैं आपका तकिया सही कर देता हूँ।,152.11,0.46,0.29,0.11,0.45,0.2,Surprise
2196,Spanish,¿Tiene algún dolor?,178.19,0.73,0.24,0.09,0.32,0.17,Fear
2197,French,Ressentez-vous de la douleur?,160.34,0.48,0.35,0.15,0.39,0.22,Anger
2198,Mandarin,让我帮你调整枕头。,238.96,0.42,0.31,0.13,0.48,0.15,Surprise
2199,French,Je vais enregistrer votre tension artérielle.,154.47,0.74,0.4,0.09,0.41,0.24,Neutral
2200,English,Let's try a few stretching exercises.,168.77,0.56,0.26,0.13,0.56,0.3,Sadness
2201,Hindi,मैं आपका तकिया सही कर देता हूँ।,194.11,0.51,0.25,0.15,0.53,0.17,Neutral
2202,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,239.85,0.51,0.23,0.12,0.45,0.21,Anger
2203,English,Do you feel any pain?,197.07,0.42,0.24,0.12,0.56,0.26,Surprise
2204,French,Nous allons commencer la séance.,171.37,0.57,0.32,0.12,0.31,0.27,Sadness
2205,French,Essayons quelques exercices d'étirement.,177.02,0.52,0.27,0.14,0.55,0.24,Fear
2206,French,Vous semblez plus détendu aujourd'hui.,245.33,0.55,0.2,0.11,0.5,0.23,Fear
2207,French,Laissez-moi ajuster votre oreiller pour plus de confort.,166.41,0.6,0.28,0.15,0.33,0.26,Sadness
2208,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,164.55,0.5,0.21,0.12,0.59,0.19,Anger
2209,French,Comment vous sentez-vous aujourd'hui?,176.89,0.53,0.34,0.14,0.34,0.16,Fear
2210,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,220.32,0.44,0.3,0.13,0.31,0.2,Anger
2211,English,Let's try a few stretching exercises.,151.64,0.52,0.37,0.1,0.37,0.15,Anger
2212,Spanish,¿Puede mover el brazo lentamente?,177.11,0.5,0.26,0.1,0.49,0.21,Anger
2213,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,153.17,0.73,0.26,0.15,0.48,0.19,Neutral
2214,Hindi,आप अच्छी प्रगति कर रहे हैं।,211.66,0.5,0.29,0.12,0.32,0.22,Neutral
2215,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,175.37,0.71,0.24,0.15,0.46,0.26,Fear
2216,Mandarin,你今天看起来更放松。,151.11,0.54,0.38,0.11,0.47,0.21,Surprise
2217,Mandarin,你可以慢慢移动手臂吗？,152.76,0.79,0.39,0.11,0.52,0.22,Fear
2218,English,You are making good progress.,197.03,0.54,0.31,0.12,0.56,0.17,Anger
2219,Spanish,Por favor respire profundamente.,192.8,0.58,0.27,0.14,0.45,0.27,Anger
2220,Spanish,¿Tiene algún dolor?,228.85,0.44,0.29,0.13,0.53,0.18,Fear
2221,Spanish,Está progresando bien.,172.89,0.47,0.24,0.09,0.55,0.16,Joy
2222,French,Veuillez respirer profondément.,158.28,0.78,0.38,0.13,0.45,0.24,Fear
2223,Mandarin,你今天感觉如何？,230.25,0.63,0.2,0.15,0.58,0.25,Joy
2224,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,240.98,0.58,0.25,0.15,0.52,0.17,Anger
2225,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,153.0,0.47,0.28,0.12,0.36,0.2,Neutral
2226,English,Do you feel any pain?,189.26,0.75,0.39,0.09,0.41,0.22,Fear
2227,French,Ressentez-vous de la douleur?,230.84,0.75,0.28,0.1,0.44,0.28,Anger
2228,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,173.8,0.44,0.34,0.1,0.49,0.19,Surprise
2229,French,Laissez-moi ajuster votre oreiller pour plus de confort.,227.88,0.77,0.23,0.1,0.39,0.23,Surprise
2230,English,How are you feeling today?,242.24,0.67,0.35,0.11,0.51,0.18,Fear
2231,Mandarin,我们现在开始治疗。,244.22,0.66,0.38,0.11,0.4,0.16,Neutral
2232,Mandarin,请深呼吸。,161.03,0.74,0.3,0.08,0.57,0.16,Anger
2233,Spanish,Por favor respire profundamente.,228.24,0.44,0.3,0.11,0.4,0.2,Surprise
2234,French,Je vais enregistrer votre tension artérielle.,227.33,0.65,0.25,0.09,0.47,0.22,Neutral
2235,English,I will record your blood pressure now.,205.84,0.43,0.27,0.11,0.5,0.18,Surprise
2236,Spanish,Parece más relajado hoy.,215.0,0.77,0.33,0.1,0.41,0.16,Surprise
2237,Mandarin,让我帮你调整枕头。,164.57,0.69,0.23,0.11,0.32,0.19,Neutral
2238,English,Let me adjust your pillow for comfort.,172.88,0.65,0.38,0.13,0.34,0.22,Joy
2239,Mandarin,你可以慢慢移动手臂吗？,235.63,0.78,0.38,0.1,0.57,0.17,Neutral
2240,Mandarin,你今天看起来更放松。,204.65,0.62,0.23,0.13,0.53,0.19,Fear
2241,Hindi,आप अच्छी प्रगति कर रहे हैं।,202.89,0.69,0.21,0.12,0.45,0.16,Fear
2242,Spanish,Voy a registrar su presión arterial.,220.87,0.52,0.35,0.08,0.36,0.27,Joy
2243,French,Vous semblez plus détendu aujourd'hui.,192.27,0.72,0.26,0.09,0.38,0.24,Surprise
2244,French,Vous semblez plus détendu aujourd'hui.,241.28,0.67,0.3,0.12,0.39,0.22,Sadness
2245,French,Vous progressez bien.,245.3,0.69,0.3,0.12,0.45,0.19,Neutral
2246,English,How are you feeling today?,198.99,0.66,0.33,0.13,0.6,0.16,Joy
2247,English,We will start your therapy now.,214.35,0.79,0.22,0.09,0.58,0.26,Fear
2248,Hindi,क्या आपको कोई दर्द है?,179.97,0.63,0.27,0.14,0.47,0.24,Joy
2249,Hindi,मैं आपका तकिया सही कर देता हूँ।,201.76,0.4,0.2,0.09,0.57,0.15,Surprise
2250,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,195.44,0.76,0.32,0.09,0.5,0.17,Surprise
2251,Mandarin,让我帮你调整枕头。,219.79,0.75,0.4,0.13,0.51,0.23,Surprise
2252,Hindi,हम आपकी थेरेपी शुरू करेंगे।,174.22,0.55,0.25,0.13,0.45,0.25,Neutral
2253,French,Nous allons commencer la séance.,235.38,0.73,0.33,0.11,0.53,0.17,Fear
2254,English,You seem more relaxed today.,189.3,0.77,0.23,0.12,0.32,0.25,Neutral
2255,Mandarin,你有疼痛吗？,240.91,0.47,0.3,0.15,0.51,0.22,Anger
2256,Hindi,क्या आपको कोई दर्द है?,248.08,0.52,0.21,0.09,0.41,0.2,Surprise
2257,French,Essayons quelques exercices d'étirement.,221.73,0.72,0.28,0.13,0.5,0.16,Fear
2258,French,Nous allons commencer la séance.,218.27,0.46,0.23,0.12,0.6,0.22,Neutral
2259,Hindi,आप अच्छी प्रगति कर रहे हैं।,163.43,0.57,0.26,0.09,0.39,0.21,Joy
2260,French,Pouvez-vous bouger le bras lentement?,223.59,0.64,0.23,0.13,0.53,0.26,Joy
2261,French,Vous progressez bien.,157.19,0.52,0.21,0.08,0.48,0.21,Sadness
2262,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,202.99,0.69,0.37,0.11,0.42,0.23,Fear
2263,English,Let me adjust your pillow for comfort.,229.01,0.53,0.27,0.1,0.47,0.2,Sadness
2264,Hindi,क्या आपको कोई दर्द है?,186.28,0.55,0.27,0.08,0.35,0.2,Neutral
2265,English,You are making good progress.,220.42,0.74,0.27,0.1,0.35,0.23,Anger
2266,English,Please take a deep breath.,222.7,0.41,0.36,0.13,0.32,0.2,Fear
2267,Hindi,हम आपकी थेरेपी शुरू करेंगे।,216.61,0.6,0.22,0.15,0.33,0.19,Anger
2268,Mandarin,请深呼吸。,166.38,0.68,0.33,0.09,0.38,0.27,Anger
2269,French,Laissez-moi ajuster votre oreiller pour plus de confort.,246.98,0.69,0.34,0.09,0.55,0.16,Surprise
2270,French,Comment vous sentez-vous aujourd'hui?,201.76,0.65,0.36,0.13,0.43,0.19,Neutral
2271,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,196.15,0.48,0.33,0.12,0.33,0.2,Sadness
2272,Hindi,हम आपकी थेरेपी शुरू करेंगे।,237.5,0.77,0.31,0.1,0.49,0.15,Neutral
2273,English,Let me adjust your pillow for comfort.,245.15,0.74,0.26,0.09,0.37,0.2,Sadness
2274,English,Please take a deep breath.,174.49,0.49,0.31,0.15,0.46,0.22,Surprise
2275,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,213.69,0.48,0.3,0.12,0.31,0.24,Fear
2276,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,178.04,0.72,0.39,0.1,0.54,0.29,Anger
2277,English,We will start your therapy now.,231.1,0.66,0.35,0.12,0.53,0.23,Surprise
2278,French,Je vais enregistrer votre tension artérielle.,188.84,0.8,0.36,0.12,0.58,0.26,Fear
2279,English,Let's try a few stretching exercises.,203.35,0.58,0.26,0.15,0.56,0.3,Sadness
2280,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,178.45,0.64,0.38,0.09,0.33,0.23,Neutral
2281,Spanish,Por favor respire profundamente.,221.03,0.67,0.27,0.09,0.44,0.19,Sadness
2282,Hindi,मैं आपका तकिया सही कर देता हूँ।,195.25,0.4,0.33,0.15,0.49,0.25,Anger
2283,Mandarin,请深呼吸。,241.87,0.54,0.4,0.12,0.46,0.24,Neutral
2284,French,Laissez-moi ajuster votre oreiller pour plus de confort.,190.74,0.47,0.24,0.15,0.35,0.29,Fear
2285,Mandarin,请深呼吸。,228.51,0.76,0.35,0.12,0.59,0.25,Neutral
2286,Mandarin,你可以慢慢移动手臂吗？,210.3,0.51,0.29,0.14,0.36,0.21,Anger
2287,Spanish,¿Tiene algún dolor?,210.22,0.74,0.34,0.11,0.4,0.21,Sadness
2288,Mandarin,你的康复进展很好。,172.04,0.71,0.3,0.11,0.49,0.18,Sadness
2289,English,Let me adjust your pillow for comfort.,230.02,0.45,0.22,0.13,0.5,0.23,Sadness
2290,Spanish,Está progresando bien.,157.7,0.67,0.33,0.13,0.55,0.28,Surprise
2291,French,Ressentez-vous de la douleur?,212.98,0.56,0.27,0.09,0.49,0.26,Neutral
2292,Spanish,Está progresando bien.,211.13,0.68,0.31,0.12,0.5,0.16,Fear
2293,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,232.01,0.77,0.24,0.15,0.41,0.19,Surprise
2294,French,Essayons quelques exercices d'étirement.,184.95,0.64,0.24,0.12,0.54,0.29,Joy
2295,English,You seem more relaxed today.,247.96,0.8,0.22,0.13,0.34,0.21,Neutral
2296,Spanish,Parece más relajado hoy.,172.64,0.55,0.32,0.08,0.45,0.21,Surprise
2297,Mandarin,我们现在开始治疗。,151.77,0.64,0.26,0.1,0.44,0.23,Sadness
2298,French,Vous progressez bien.,246.51,0.51,0.39,0.15,0.38,0.26,Neutral
2299,French,Laissez-moi ajuster votre oreiller pour plus de confort.,193.37,0.58,0.29,0.09,0.5,0.27,Joy
2300,English,You seem more relaxed today.,202.7,0.52,0.37,0.13,0.39,0.23,Fear
2301,French,Je vais enregistrer votre tension artérielle.,198.18,0.6,0.27,0.15,0.32,0.16,Joy
2302,Spanish,Por favor respire profundamente.,153.59,0.47,0.36,0.14,0.6,0.2,Joy
2303,English,Let's try a few stretching exercises.,216.41,0.59,0.3,0.13,0.48,0.25,Joy
2304,Spanish,Vamos a comenzar la terapia.,234.12,0.73,0.28,0.1,0.58,0.3,Surprise
2305,Hindi,आप अच्छी प्रगति कर रहे हैं।,216.87,0.74,0.32,0.14,0.5,0.26,Sadness
2306,Hindi,आप अच्छी प्रगति कर रहे हैं।,156.08,0.55,0.24,0.14,0.49,0.27,Neutral
2307,Mandarin,你今天感觉如何？,204.19,0.59,0.36,0.14,0.47,0.27,Anger
2308,French,Essayons quelques exercices d'étirement.,188.01,0.73,0.33,0.09,0.43,0.17,Anger
2309,English,We will start your therapy now.,193.92,0.53,0.25,0.09,0.33,0.17,Anger
2310,Mandarin,你今天看起来更放松。,160.83,0.43,0.22,0.11,0.48,0.29,Joy
2311,Spanish,Está progresando bien.,191.04,0.79,0.39,0.14,0.5,0.19,Surprise
2312,French,Vous semblez plus détendu aujourd'hui.,173.0,0.78,0.39,0.11,0.34,0.21,Surprise
2313,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,225.5,0.47,0.22,0.1,0.38,0.22,Anger
2314,Mandarin,你今天感觉如何？,183.89,0.52,0.35,0.11,0.45,0.15,Joy
2315,Spanish,¿Tiene algún dolor?,184.96,0.65,0.35,0.12,0.51,0.17,Fear
2316,English,Please take a deep breath.,172.97,0.67,0.21,0.15,0.44,0.25,Fear
2317,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,150.68,0.43,0.33,0.1,0.38,0.19,Fear
2318,Mandarin,我现在记录你的血压。,210.55,0.56,0.25,0.12,0.31,0.29,Joy
2319,Spanish,Voy a registrar su presión arterial.,176.24,0.44,0.33,0.11,0.39,0.26,Sadness
2320,Spanish,Por favor respire profundamente.,248.37,0.47,0.29,0.13,0.5,0.22,Surprise
2321,English,Do you feel any pain?,164.88,0.72,0.38,0.1,0.45,0.22,Sadness
2322,Mandarin,你今天看起来更放松。,173.08,0.75,0.33,0.12,0.38,0.17,Surprise
2323,French,Vous semblez plus détendu aujourd'hui.,228.41,0.58,0.4,0.11,0.4,0.19,Neutral
2324,Spanish,Parece más relajado hoy.,218.8,0.56,0.27,0.12,0.37,0.19,Anger
2325,English,How are you feeling today?,220.26,0.4,0.36,0.15,0.32,0.17,Sadness
2326,Spanish,¿Se siente más relajado ahora?,196.18,0.7,0.27,0.1,0.5,0.29,Sadness
2327,Mandarin,请深呼吸。,163.53,0.63,0.36,0.11,0.32,0.16,Surprise
2328,Spanish,¿Puede mover el brazo lentamente?,213.55,0.5,0.36,0.12,0.56,0.2,Joy
2329,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,228.49,0.45,0.28,0.12,0.58,0.23,Surprise
2330,Hindi,मैं आपका तकिया सही कर देता हूँ।,245.75,0.63,0.34,0.15,0.59,0.18,Fear
2331,French,Laissez-moi ajuster votre oreiller pour plus de confort.,199.91,0.73,0.35,0.13,0.34,0.19,Joy
2332,English,You are making good progress.,232.38,0.58,0.26,0.14,0.39,0.2,Sadness
2333,French,Essayons quelques exercices d'étirement.,179.93,0.62,0.21,0.09,0.51,0.22,Fear
2334,English,Can you move your arm slowly?,179.48,0.47,0.36,0.15,0.38,0.24,Joy
2335,Spanish,¿Puede mover el brazo lentamente?,249.87,0.76,0.38,0.13,0.3,0.26,Fear
2336,Hindi,कृपया गहरी साँस लें।,163.72,0.57,0.3,0.08,0.36,0.18,Fear
2337,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,180.33,0.53,0.24,0.11,0.5,0.18,Sadness
2338,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,214.46,0.79,0.25,0.14,0.4,0.23,Surprise
2339,Mandarin,我们现在开始治疗。,154.38,0.75,0.25,0.09,0.53,0.23,Fear
2340,English,Let me adjust your pillow for comfort.,240.71,0.47,0.36,0.13,0.43,0.16,Fear
2341,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,204.76,0.76,0.26,0.15,0.6,0.3,Fear
2342,Spanish,Voy a registrar su presión arterial.,210.93,0.79,0.33,0.13,0.4,0.22,Joy
2343,French,Vous semblez plus détendu aujourd'hui.,228.18,0.52,0.22,0.12,0.4,0.22,Neutral
2344,English,Do you feel any pain?,200.56,0.46,0.23,0.11,0.51,0.17,Surprise
2345,Mandarin,让我帮你调整枕头。,196.84,0.43,0.34,0.12,0.51,0.2,Joy
2346,Mandarin,让我帮你调整枕头。,241.63,0.7,0.37,0.14,0.4,0.19,Neutral
2347,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,181.05,0.41,0.21,0.13,0.44,0.23,Anger
2348,French,Laissez-moi ajuster votre oreiller pour plus de confort.,206.53,0.6,0.28,0.14,0.33,0.26,Sadness
2349,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,233.58,0.63,0.35,0.1,0.52,0.18,Sadness
2350,Spanish,¿Puede mover el brazo lentamente?,174.83,0.4,0.32,0.13,0.51,0.3,Joy
2351,Mandarin,我们来做一些伸展运动。,234.96,0.57,0.35,0.12,0.4,0.16,Fear
2352,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,249.1,0.75,0.21,0.15,0.52,0.16,Neutral
2353,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,178.89,0.61,0.34,0.13,0.58,0.3,Neutral
2354,Mandarin,你今天看起来更放松。,209.37,0.57,0.28,0.09,0.6,0.17,Neutral
2355,French,Ressentez-vous de la douleur?,189.51,0.6,0.28,0.1,0.56,0.2,Fear
2356,Spanish,Por favor respire profundamente.,220.03,0.68,0.22,0.09,0.37,0.25,Surprise
2357,Hindi,आप अच्छी प्रगति कर रहे हैं।,222.31,0.7,0.33,0.12,0.57,0.2,Sadness
2358,English,Can you move your arm slowly?,188.04,0.73,0.32,0.11,0.39,0.23,Fear
2359,Mandarin,我们现在开始治疗。,176.09,0.79,0.4,0.11,0.51,0.19,Sadness
2360,Mandarin,你可以慢慢移动手臂吗？,169.17,0.75,0.24,0.12,0.45,0.23,Joy
2361,Mandarin,我们现在开始治疗。,198.41,0.43,0.22,0.09,0.38,0.17,Fear
2362,Hindi,आप अच्छी प्रगति कर रहे हैं।,233.68,0.78,0.21,0.09,0.51,0.29,Surprise
2363,Mandarin,让我帮你调整枕头。,234.03,0.56,0.39,0.09,0.6,0.19,Anger
2364,Mandarin,我们来做一些伸展运动。,231.5,0.49,0.39,0.1,0.46,0.25,Neutral
2365,French,Je vais enregistrer votre tension artérielle.,158.13,0.62,0.36,0.1,0.53,0.21,Joy
2366,Mandarin,让我帮你调整枕头。,246.07,0.66,0.39,0.11,0.48,0.19,Surprise
2367,French,Laissez-moi ajuster votre oreiller pour plus de confort.,191.13,0.63,0.27,0.1,0.34,0.19,Anger
2368,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,233.13,0.56,0.29,0.09,0.36,0.19,Joy
2369,Mandarin,你今天看起来更放松。,155.65,0.77,0.35,0.08,0.48,0.25,Fear
2370,Hindi,क्या आपको कोई दर्द है?,219.09,0.44,0.28,0.14,0.55,0.16,Fear
2371,English,Let me adjust your pillow for comfort.,246.37,0.41,0.26,0.14,0.45,0.3,Anger
2372,Spanish,Está progresando bien.,163.07,0.63,0.32,0.11,0.4,0.25,Sadness
2373,French,Pouvez-vous bouger le bras lentement?,171.73,0.7,0.35,0.1,0.33,0.2,Anger
2374,Spanish,¿Puede mover el brazo lentamente?,181.9,0.74,0.21,0.15,0.53,0.16,Surprise
2375,Mandarin,让我帮你调整枕头。,183.37,0.43,0.38,0.12,0.36,0.29,Neutral
2376,English,Let's try a few stretching exercises.,197.61,0.52,0.36,0.12,0.47,0.27,Surprise
2377,Spanish,Déjeme ajustar su almohada para mayor comodidad.,188.01,0.68,0.31,0.12,0.5,0.22,Joy
2378,English,I will record your blood pressure now.,225.54,0.54,0.33,0.15,0.55,0.22,Sadness
2379,Mandarin,我们来做一些伸展运动。,221.2,0.74,0.36,0.12,0.56,0.17,Sadness
2380,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,221.26,0.8,0.38,0.08,0.46,0.29,Joy
2381,Mandarin,我们来做一些伸展运动。,204.67,0.45,0.29,0.09,0.46,0.22,Joy
2382,Hindi,कृपया गहरी साँस लें।,215.17,0.7,0.2,0.11,0.4,0.26,Fear
2383,Spanish,Por favor respire profundamente.,241.27,0.72,0.32,0.15,0.58,0.28,Neutral
2384,Mandarin,我现在记录你的血压。,156.71,0.69,0.33,0.08,0.48,0.29,Neutral
2385,English,Let me adjust your pillow for comfort.,161.55,0.67,0.23,0.08,0.48,0.25,Neutral
2386,French,Veuillez respirer profondément.,202.22,0.51,0.39,0.08,0.45,0.29,Sadness
2387,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,152.52,0.56,0.37,0.13,0.57,0.18,Fear
2388,English,You are making good progress.,247.58,0.7,0.39,0.13,0.51,0.18,Joy
2389,Mandarin,你的康复进展很好。,188.44,0.79,0.4,0.14,0.46,0.26,Sadness
2390,French,Nous allons commencer la séance.,159.05,0.59,0.24,0.09,0.47,0.25,Anger
2391,Spanish,¿Tiene algún dolor?,244.61,0.54,0.23,0.08,0.44,0.18,Sadness
2392,Mandarin,你可以慢慢移动手臂吗？,204.45,0.53,0.3,0.13,0.43,0.18,Fear
2393,Mandarin,我们来做一些伸展运动。,240.75,0.51,0.33,0.1,0.36,0.19,Anger
2394,French,Je vais enregistrer votre tension artérielle.,247.09,0.77,0.21,0.1,0.48,0.22,Anger
2395,French,Pouvez-vous bouger le bras lentement?,188.19,0.77,0.31,0.13,0.56,0.15,Fear
2396,French,Pouvez-vous bouger le bras lentement?,227.92,0.53,0.29,0.14,0.5,0.3,Joy
2397,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,232.1,0.44,0.23,0.09,0.35,0.16,Joy
2398,Spanish,¿Tiene algún dolor?,249.73,0.57,0.3,0.09,0.57,0.25,Sadness
2399,French,Vous progressez bien.,174.95,0.59,0.21,0.15,0.55,0.25,Anger
2400,Hindi,मैं आपका तकिया सही कर देता हूँ।,191.0,0.46,0.32,0.14,0.55,0.28,Fear
2401,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,179.62,0.71,0.32,0.08,0.5,0.28,Joy
2402,Spanish,¿Tiene algún dolor?,188.88,0.63,0.3,0.14,0.56,0.24,Neutral
2403,French,Veuillez respirer profondément.,225.14,0.51,0.26,0.08,0.45,0.21,Joy
2404,Mandarin,我们来做一些伸展运动。,182.68,0.44,0.38,0.13,0.53,0.22,Anger
2405,French,Pouvez-vous bouger le bras lentement?,173.77,0.55,0.37,0.13,0.51,0.19,Anger
2406,Hindi,क्या आपको कोई दर्द है?,237.72,0.7,0.24,0.08,0.36,0.3,Anger
2407,French,Nous allons commencer la séance.,172.33,0.49,0.33,0.09,0.37,0.24,Fear
2408,Mandarin,你可以慢慢移动手臂吗？,208.02,0.65,0.34,0.1,0.42,0.29,Sadness
2409,Mandarin,我现在记录你的血压。,187.6,0.67,0.37,0.14,0.53,0.25,Sadness
2410,Mandarin,请深呼吸。,205.28,0.76,0.26,0.13,0.47,0.17,Fear
2411,Spanish,Parece más relajado hoy.,246.05,0.78,0.39,0.11,0.57,0.23,Fear
2412,Hindi,क्या आपको कोई दर्द है?,215.28,0.62,0.29,0.1,0.54,0.19,Sadness
2413,Spanish,¿Se siente más relajado ahora?,154.14,0.58,0.34,0.14,0.31,0.2,Fear
2414,English,You seem more relaxed today.,164.33,0.63,0.29,0.1,0.56,0.16,Sadness
2415,Hindi,आप अच्छी प्रगति कर रहे हैं।,236.85,0.69,0.23,0.1,0.49,0.19,Neutral
2416,Mandarin,你有疼痛吗？,237.07,0.66,0.24,0.13,0.55,0.25,Surprise
2417,Spanish,¿Tiene algún dolor?,223.5,0.46,0.36,0.14,0.47,0.15,Anger
2418,Hindi,आप अच्छी प्रगति कर रहे हैं।,205.39,0.8,0.26,0.12,0.43,0.23,Joy
2419,English,Let me adjust your pillow for comfort.,172.0,0.72,0.3,0.11,0.54,0.22,Surprise
2420,French,Comment vous sentez-vous aujourd'hui?,182.03,0.4,0.31,0.1,0.54,0.21,Neutral
2421,English,I will record your blood pressure now.,182.07,0.55,0.39,0.1,0.48,0.22,Surprise
2422,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,205.39,0.67,0.38,0.12,0.49,0.22,Anger
2423,Mandarin,我现在记录你的血压。,170.64,0.66,0.32,0.14,0.45,0.21,Sadness
2424,French,Nous allons commencer la séance.,156.3,0.75,0.3,0.13,0.53,0.19,Sadness
2425,French,Veuillez respirer profondément.,208.68,0.48,0.31,0.09,0.55,0.19,Anger
2426,Mandarin,我现在记录你的血压。,151.12,0.54,0.22,0.1,0.53,0.2,Sadness
2427,English,Please take a deep breath.,197.45,0.57,0.34,0.15,0.38,0.23,Anger
2428,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,205.36,0.66,0.38,0.1,0.3,0.27,Fear
2429,French,Vous progressez bien.,235.39,0.64,0.26,0.14,0.45,0.16,Sadness
2430,English,Please take a deep breath.,166.07,0.66,0.37,0.12,0.38,0.24,Anger
2431,English,Can you move your arm slowly?,240.52,0.49,0.24,0.09,0.49,0.3,Sadness
2432,French,Essayons quelques exercices d'étirement.,214.75,0.71,0.24,0.15,0.3,0.2,Fear
2433,French,Pouvez-vous bouger le bras lentement?,153.38,0.75,0.23,0.09,0.32,0.19,Joy
2434,Spanish,Vamos a comenzar la terapia.,175.49,0.52,0.25,0.15,0.52,0.29,Surprise
2435,French,Laissez-moi ajuster votre oreiller pour plus de confort.,220.08,0.77,0.3,0.09,0.34,0.17,Sadness
2436,English,How are you feeling today?,218.11,0.48,0.22,0.12,0.36,0.2,Joy
2437,French,Ressentez-vous de la douleur?,163.79,0.72,0.37,0.13,0.45,0.16,Surprise
2438,French,Essayons quelques exercices d'étirement.,217.34,0.78,0.29,0.1,0.36,0.25,Surprise
2439,French,Je vais enregistrer votre tension artérielle.,219.18,0.64,0.32,0.12,0.32,0.2,Anger
2440,Spanish,Por favor respire profundamente.,203.66,0.76,0.25,0.09,0.34,0.26,Fear
2441,Spanish,¿Tiene algún dolor?,190.02,0.72,0.37,0.09,0.48,0.26,Joy
2442,French,Ressentez-vous de la douleur?,171.05,0.6,0.24,0.1,0.32,0.22,Surprise
2443,English,Can you move your arm slowly?,156.31,0.76,0.22,0.12,0.37,0.28,Neutral
2444,Hindi,क्या आपको कोई दर्द है?,158.17,0.66,0.34,0.12,0.57,0.18,Surprise
2445,Mandarin,你有疼痛吗？,196.66,0.8,0.34,0.09,0.35,0.18,Surprise
2446,English,Let's try a few stretching exercises.,226.59,0.8,0.4,0.13,0.48,0.24,Anger
2447,Mandarin,请深呼吸。,170.92,0.45,0.33,0.08,0.4,0.2,Joy
2448,Mandarin,你有疼痛吗？,157.22,0.71,0.27,0.1,0.54,0.23,Fear
2449,Spanish,¿Se siente más relajado ahora?,241.86,0.71,0.24,0.09,0.36,0.19,Anger
2450,French,Nous allons commencer la séance.,214.05,0.74,0.38,0.15,0.3,0.17,Joy
2451,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,166.41,0.54,0.2,0.11,0.48,0.25,Anger
2452,Mandarin,请深呼吸。,205.94,0.8,0.3,0.08,0.53,0.19,Neutral
